File Name,UVLED ID,Average Current (A),Current Standard Deviation (A),UVLED Current Amplitude (mA),UVLED Displacement (m),UVLED Pulse Frequency (Hz),Background Corrected Current (A),Corrected Current Standard Deviation (A),Flux (photons/mm^2),Flux Error
2017-05-18_frequency-19.csv,ID 8 WL=355nm,-3.47041773333e-07,1.82048484262e-10,40.0,close,46500,-1,-1,1027122.9979418521,3685.8800795995244
2017-05-18_frequency-190.csv,ID 8 WL=355nm,-4.20425452e-08,1.4316704822e-11,40.0,close,5500,-1,-1,225543.79389003853,804.3557030323806
2017-05-18_frequency-191.csv,ID 8 WL=355nm,-1.64525402667e-07,6.86078226314e-11,40.0,close,21750,-1,-1,667608.39055347,2386.3047859382873
2017-05-18_frequency-192.csv,ID 8 WL=355nm,-2.33133558667e-07,9.4932615531e-11,40.0,close,31000,-1,-1,830799.1832824879,2968.676255368379
2017-05-18_frequency-193.csv,ID 8 WL=355nm,-9.88223534667e-08,2.91534075078e-11,40.0,close,13000,-1,-1,461541.7257210069,1644.120844695756
2017-05-18_frequency-194.csv,ID 8 WL=355nm,-1.06410469333e-07,3.34049276738e-11,40.0,close,14000,-1,-1,488551.6340181463,1741.1262630599824
2017-05-18_frequency-195.csv,ID 8 WL=355nm,-3.06238583333e-08,1.16705714465e-11,40.0,close,4000,-1,-1,169320.21195511453,604.5403286309831
2017-05-18_frequency-196.csv,ID 8 WL=355nm,-2.55467610667e-07,1.22909968756e-10,40.0,close,34000,-1,-1,875798.0226610495,3137.5058241174434
2017-05-18_frequency-197.csv,ID 8 WL=355nm,-2.79140898667e-07,1.2481039112e-10,40.0,close,37250,-1,-1,919121.8845041902,3288.661158077326
2017-05-18_frequency-198.csv,ID 8 WL=355nm,-1.12009226e-07,3.93295570447e-11,40.0,close,14750,-1,-1,507796.72798239643,1811.474759892019
2017-05-18_frequency-20.csv,ID 8 WL=355nm,-1.3829725e-07,5.479829164e-11,40.0,close,18250,-1,-1,592255.535475459,2115.5631884556988
2017-05-18_frequency-21.csv,ID 8 WL=355nm,-2.83076758667e-07,1.28293131116e-10,40.0,close,37750,-1,-1,926446.4754421778,3315.57824195881
2017-05-18_frequency-22.csv,ID 8 WL=355nm,-3.45001187333e-07,1.48872008695e-10,40.0,close,46250,-1,-1,1023882.4259145507,3661.5361544330704
2017-05-18_frequency-23.csv,ID 8 WL=355nm,-9.63769254667e-09,8.66600661403e-12,40.0,close,1250,-1,-1,56458.55548643485,206.7572282704426
2017-05-18_frequency-24.csv,ID 8 WL=355nm,-3.12457328667e-07,1.73165864356e-10,40.0,close,41750,-1,-1,975426.584103933,3504.70714389138
2017-05-18_frequency-25.csv,ID 8 WL=355nm,-5.91222457333e-08,1.65351781906e-11,40.0,close,7750,-1,-1,303630.4988015036,1081.2281490322332
2017-05-18_frequency-26.csv,ID 8 WL=355nm,-1.94469227333e-07,7.88082346769e-11,40.0,close,25750,-1,-1,744471.6621091734,2660.038588481069
2017-05-18_frequency-27.csv,ID 8 WL=355nm,-1.21414284667e-07,4.2232746752e-11,40.0,close,16000,-1,-1,539147.1752841844,1923.1382521184273
2017-05-18_frequency-28.csv,ID 8 WL=355nm,-3.30617482e-07,1.67315950652e-10,40.0,close,44250,-1,-1,1003193.4919669755,3597.341631150162
2017-05-18_frequency-29.csv,ID 8 WL=355nm,-3.61335426667e-07,1.70492472431e-10,40.0,close,48500,-1,-1,1046540.9094508947,3747.8926812427953
2017-05-18_frequency-30.csv,ID 8 WL=355nm,-2.14732486e-07,9.71887613736e-11,40.0,close,28500,-1,-1,791268.580105114,2831.7412356394593
2017-05-18_frequency-31.csv,ID 8 WL=355nm,-1.98126355333e-07,7.59045519379e-11,40.0,close,26250,-1,-1,753146.0312882763,2689.1927448501283
2017-05-18_frequency-32.csv,ID 8 WL=355nm,-2.40555119333e-07,9.70821952071e-11,40.0,close,32000,-1,-1,846107.2898962622,3023.028190238917
2017-05-18_frequency-33.csv,ID 8 WL=355nm,-2.11097662e-07,8.8542680232e-11,40.0,close,28000,-1,-1,783205.7584407339,2799.7200743481367
2017-05-18_frequency-34.csv,ID 8 WL=355nm,-2.20368738667e-07,9.16171576265e-11,40.0,close,29250,-1,-1,803830.3142911226,2873.0995728615603
2017-05-18_frequency-35.csv,ID 8 WL=355nm,-3.01275722667e-07,1.2910826214e-10,40.0,close,40250,-1,-1,957077.3174871609,3422.290259670147
2017-05-18_frequency-36.csv,ID 8 WL=355nm,-1.34601283333e-07,5.2542285722e-11,40.0,close,17750,-1,-1,581023.9291861589,2075.067158674942
2017-05-18_frequency-37.csv,ID 8 WL=355nm,-1.9203481e-08,9.93617288832e-12,40.0,close,2500,-1,-1,109532.69762975725,392.9495028208338
2017-05-18_frequency-38.csv,ID 8 WL=355nm,-2.29700237333e-07,1.05356010774e-10,40.0,close,30500,-1,-1,823988.2831699487,2949.4724515080475
2017-05-18_frequency-39.csv,ID 8 WL=355nm,-5.15763323333e-08,1.12325695734e-11,40.0,close,6750,-1,-1,270000.21905498905,960.3027787030676
2017-05-18_frequency-40.csv,ID 8 WL=355nm,-5.80539405333e-09,3.39873454932e-11,40.0,close,750,-1,-1,34380.612125284955,235.3929730905992
2017-05-18_frequency-41.csv,ID 8 WL=355nm,-2.61047674667e-07,1.31951249678e-10,40.0,close,34750,-1,-1,886506.7415207837,3178.8403575995508
2017-05-18_frequency-42.csv,ID 8 WL=355nm,-1.47693277333e-07,5.40866541107e-11,40.0,close,19500,-1,-1,620227.7678854791,2213.492825800448
2017-05-18_frequency-43.csv,ID 8 WL=355nm,-1.92550204e-07,7.66165046449e-11,40.0,close,25500,-1,-1,739740.7808115074,2642.5242564980663
2017-05-18_frequency-44.csv,ID 8 WL=355nm,-2.97576632e-07,1.31047004453e-10,40.0,close,39750,-1,-1,950906.3089454824,3401.592058994781
2017-05-18_frequency-45.csv,ID 8 WL=355nm,-1.72829154e-08,5.18387340766e-12,40.0,close,2250,-1,-1,99100.25630802946,353.05939214678085
2017-05-18_frequency-46.csv,ID 8 WL=355nm,-1.8332964e-07,7.01903497641e-11,40.0,close,24250,-1,-1,717038.6251473093,2560.248135288923
2017-05-18_frequency-47.csv,ID 8 WL=355nm,-2.44244278e-07,1.04063348572e-10,40.0,close,32500,-1,-1,853537.5559828363,3051.8031300869848
2017-05-18_frequency-48.csv,ID 8 WL=355nm,-3.82557379333e-08,1.14999852926e-11,40.0,close,5000,-1,-1,207282.99093930778,738.4880994250555
2017-05-18_frequency-49.csv,ID 8 WL=355nm,-2.26017745333e-07,1.01121988105e-10,40.0,close,30000,-1,-1,816186.7215119166,2920.383300768076
2017-05-18_frequency-50.csv,ID 8 WL=355nm,-1.86957952e-07,7.48640374011e-11,40.0,close,24750,-1,-1,725984.5402796903,2593.588907218461
2017-05-18_frequency-51.csv,ID 8 WL=355nm,-3.37868922667e-07,1.58670103106e-10,40.0,close,45250,-1,-1,1013831.4391995727,3630.457087833319
2017-05-18_frequency-52.csv,ID 8 WL=355nm,-2.68323949333e-08,9.10729991063e-12,40.0,close,3500,-1,-1,149887.95764042542,534.5287462173035
2017-05-18_frequency-53.csv,ID 8 WL=355nm,-1.27064656667e-07,4.38087790542e-11,40.0,close,16750,-1,-1,557379.9486757839,1988.0087231391312
2017-05-18_frequency-54.csv,ID 8 WL=355nm,-1.30901514e-07,4.05692905698e-11,40.0,close,17250,-1,-1,569595.2198722904,2029.7541281029762
2017-05-18_frequency-55.csv,ID 8 WL=355nm,-2.1301925e-07,9.20952924964e-11,40.0,close,28250,-1,-1,787636.1262242832,2816.7669500387738
2017-05-18_frequency-56.csv,ID 8 WL=355nm,-3.32342705333e-07,1.5666067483e-10,40.0,close,44500,-1,-1,1005610.102534194,3601.2499603548167
2017-05-18_frequency-57.csv,ID 8 WL=355nm,-1.02631549333e-07,3.48486073307e-11,40.0,close,13500,-1,-1,475232.29037311417,1694.7742062138157
2017-05-18_frequency-58.csv,ID 8 WL=355nm,-3.28767646e-07,1.6507827381e-10,40.0,close,44000,-1,-1,1000384.1229626915,3586.710770317302
2017-05-18_frequency-59.csv,ID 8 WL=355nm,-1.51412238e-07,6.37213513876e-11,40.0,close,20000,-1,-1,630950.8217731201,2255.559794393681
